7.05           0
7.15           0
7.25           0
7.35           0
7.45           0
7.55           3
7.65          20
7.75          26
7.85          61
7.95          47
8.05          58
8.15          83
8.25          69
8.35          73
8.45          79
8.55          64
8.65          41
8.75          35
8.85          32
8.95          18
9.05          11
9.15           9
9.25           1
9.35           4
9.45           1
9.55           0
9.65           0
9.75           0
9.85           0
9.95           0
